Code,Description
805,Golfing - areas of land arranged as a golf course
806,Horseback Riding - trails or areas
807,Hunting - areas for the hunting of wildlife
808,Fishing Areas
809,Alpine Skiing - areas for downhill skiing
810,Nordic Skiing - areas for cross-country skiing
811,Swimming Areas
812,Picnicking Areas
813,Public Non-Commercial Flying - areas for gliding or hand-gliding
814,Target Shooting - areas for target shooting such as archery skeet or approved fire-arms
815,Productive Woodland - woodlots
900,United States Government
910,Department of Conservation and Recreation Division of State Parks and Recreation
911,Division of Fish and Game Wildlife Environmental Law Enforcement
912,Department of Corrections Division of Youth Services
913,Department of Public Health Soldiers' Homes
914,Department of Mental Health Department of Mental Retardation
915,Department of Conservation and Recreation Division of Water Supply Protection
916,Military Division – Campgrounds
917,Education – Univ. of Mass State Colleges Community Colleges
918,Department of Environmental Protection Low-level Radioactive Waste Management Board
919,Other
920,Department of Conservation and Recreation Division of Urban Parks and Recreation
921,Division of Fish and Game DFW Environmental Law Enforcement Department of Environmental Protection
922,Department of Corrections Division of Youth Services Mass Military State Police Sheriffs' Departments
923,Department of Public Health Soldiers' Homes Department of Mental Health Department of Mental Retardation
924,Mass Highway Department
925,Department of Conservation and Recreation Division of Water Supply Protection conservation restrictions and sewer easements Urban Parks
926,Judiciary
927,Education – Univ. of Mass State Colleges Community Colleges
928,Division of Capital Asset Management Bureau of State Office Buildings
929,Other
930,Vacant Selectmen or City Council
931,Improved Selectmen or City Council
932,Vacant Conservation
933,Vacant Education
934,Improved Education
935,Improved Municipal Public Safety
936,Vacant Tax Title/ Treasurer
937,Improved Tax Title/ Treasurer
938,Vacant District
939,Improved District
940,Elementary Level
941,Secondary Level
942,College or University
943,Other Educational
944,Auxiliary Athletic
945,Affiliated Housing
946,Vacant
947,Other
950,Vacant Conservation Organizations
951,Other
952,Auxiliary Use (Storage Barns etc.)
953,Cemeteries
954,Function Halls Community Centers Fraternal Organizations
955,Hospitals
956,Libraries Museums
957,Charitable Services
958,Recreation Active Use
959,Housing Other
960,Church Mosque Synagogue Temple etc.
961,Rectory or Parsonage etc.
962,Other
970,Housing Authority
971,Utility Authority Electric Light Sewer Water
972,Transportation Authority
973,Vacant Housing Authority
974,Vacant Utility Authority
975,Vacant Transportation Authority
980,Vacant Selectmen or City Council Other City or Town
981,Improved Selectmen or City Council Other City or Town
982,Vacant Conservation Other City or Town
985,Improved Municipal or Public Safety Other City or Town
988,Vacant Other District
989,Improved Other District
990,121A Corporations
991,Vacant County or Regional
992,Improved County or Regional Deeds or Administration
993,Improved Count or Regional Correctional
994,Improved County or Regional Association Commission
995,Other Open Space
996,Other Non-Taxable Condominium Common Land
997,Other
